INFO 2026-06-13 21:34:50,832 imageservice GET /api/images/70/ | user=Anonymous | ip=172.18.0.1 | time=0.008s | status=200
INFO 2026-06-13 21:34:50,834 imageservice GET /media/images/I_lAgChcH._V._Stalin.jpg | user=Anonymous | ip=172.18.0.1 | time=0.000s | status=200
INFO 2026-06-13 21:35:00,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:35:15,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:35:30,022 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.006s | status=200
INFO 2026-06-13 21:35:43,453 imageservice GET /api/images/70/ | user=Anonymous | ip=172.18.0.1 | time=0.012s | status=200
INFO 2026-06-13 21:35:43,456 imageservice GET /media/images/I_lAgChcH._V._Stalin.jpg | user=Anonymous | ip=172.18.0.1 | time=0.000s | status=200
INFO 2026-06-13 21:35:45,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:36:00,019 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:36:15,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:36:30,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.006s | status=200
INFO 2026-06-13 21:36:45,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:37:00,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:37:15,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:37:30,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:37:45,019 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:38:00,022 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.007s | status=200
INFO 2026-06-13 21:38:15,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:38:30,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:38:45,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:39:00,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:39:15,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:39:27,141 imageservice GET /api/images/70/ | user=Anonymous | ip=172.18.0.1 | time=0.010s | status=200
INFO 2026-06-13 21:39:27,144 imageservice GET /media/images/I_lAgChcH._V._Stalin.jpg | user=Anonymous | ip=172.18.0.1 | time=0.000s | status=200
INFO 2026-06-13 21:39:30,019 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:39:45,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:40:00,018 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:40:15,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:40:30,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:40:45,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:41:00,019 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:41:15,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:41:30,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:41:45,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:42:00,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
